object_id,camera_name,camera_id,num_in,num_mask,num_no_mask,minute,hour,day,month,year
4,tang1,4,23,7,16,1,5,1,1,2020
4,tang1,4,43,2,41,2,5,1,2,2020
4,tang1,4,32,0,32,3,6,1,3,2020
4,tang1,4,45,5,40,4,6,2,3,2020
4,tang1,4,67,9,58,2,6,2,3,2020
4,tang1,4,54,1,53,3,6,2,4,2020
4,tang1,4,34,5,29,4,6,2,4,2020
4,tang1,4,56,1,55,6,6,2,4,2020
4,tang1,4,43,7,36,4,7,3,4,2020
4,tang1,4,56,1,55,4,7,3,4,2020
4,tang1,4,89,6,83,3,7,3,4,2020
4,tang1,4,8,5,3,4,7,3,4,2020
4,tang1,4,65,3,62,6,7,3,5,2020
4,tang1,4,12,8,4,7,7,3,5,2020
4,tang1,4,32,4,28,8,7,3,5,2020
4,tang1,4,12,6,6,9,7,3,5,2020
4,tang1,4,34,3,31,14,7,3,5,2020
4,tang1,4,55,0,55,53,7,3,5,2020
4,tang1,4,67,6,61,23,7,3,5,2020
4,tang1,4,65,9,56,23,7,4,5,2020
4,tang1,4,67,7,60,34,7,4,5,2020
4,tang1,4,56,3,53,1,7,4,5,2020
4,tang1,4,54,2,52,2,8,4,6,2020
4,tang1,4,56,1,55,3,8,4,6,2020
4,tang1,4,43,2,41,4,8,4,6,2020
4,tang1,4,12,7,5,7,8,4,6,2020
4,tang1,4,12,8,4,3,8,4,6,2020
4,tang1,4,13,2,11,2,8,4,6,2020
4,tang1,4,14,2,12,3,8,4,7,2020
4,tang1,4,15,8,7,1,8,5,7,2020
4,tang1,4,23,3,20,3,8,5,7,2020
4,tang1,4,24,2,22,53,8,5,7,2020
4,tang1,4,23,3,20,23,8,5,8,2020
4,tang1,4,34,5,29,23,8,5,8,2020
4,tang1,4,35,2,33,4,8,5,8,2020
4,tang1,4,34,9,25,5,8,5,8,2020
4,tang1,4,45,4,41,4,8,5,9,2020
4,tang1,4,46,0,46,3,8,5,9,2020
4,tang1,4,67,5,62,3,8,5,9,2020
4,tang1,4,66,3,63,4,8,6,9,2020
4,tang1,4,78,8,70,2,9,6,10,2020
4,tang1,4,76,10,66,4,9,6,10,2020
4,tang1,4,66,6,60,5,9,6,11,2020
4,tang1,4,54,2,52,6,9,6,11,2020
4,tang1,4,78,5,73,8,9,7,11,2020
4,tang1,4,78,3,75,7,9,7,12,2020
4,tang1,4,90,9,81,7,9,7,12,2020
4,tang1,4,54,1,53,8,9,7,12,2020
4,tang1,4,54,6,48,7,9,7,12,2020
4,tang2,5,72,10,62,3,5,1,1,2020
4,tang2,5,81,5,76,5,5,2,1,2020
4,tang2,5,34,1,33,6,5,2,1,2020
4,tang2,5,34,4,30,5,5,2,1,2020
4,tang2,5,39,5,34,5,6,2,1,2020
4,tang2,5,87,8,79,4,6,2,1,2020
4,tang2,5,56,9,47,4,6,2,1,2020
4,tang2,5,43,8,35,5,6,2,1,2020
4,tang2,5,12,9,3,6,6,2,2,2020
4,tang2,5,34,7,27,5,6,3,2,2020
4,tang2,5,56,6,50,4,6,3,2,2020
