object_id,camera_name,camera_id,num_in,num_mask,num_no_mask,minute,hour,day,month,year
4,tang2,5,72,10,62,3,5,1,1,2020
4,tang2,5,81,5,76,5,5,2,1,2020
4,tang2,5,34,1,33,6,5,2,1,2020
4,tang2,5,34,4,30,5,5,2,1,2020
4,tang2,5,39,5,34,5,6,2,1,2020
4,tang2,5,87,8,79,4,6,2,1,2020
4,tang2,5,56,9,47,4,6,2,1,2020
4,tang2,5,43,8,35,5,6,2,1,2020
4,tang2,5,12,9,3,6,6,2,2,2020
4,tang2,5,34,7,27,5,6,3,2,2020
4,tang2,5,56,6,50,4,6,3,2,2020
4,tang2,5,76,10,66,4,6,3,2,2020
4,tang2,5,45,8,37,3,7,3,2,2020
4,tang2,5,34,2,32,4,7,3,2,2020
4,tang2,5,23,0,23,3,7,3,2,2020
4,tang2,5,34,5,29,4,7,3,2,2020
4,tang2,5,23,1,22,5,7,3,2,2020
4,tang2,5,45,8,37,6,7,3,2,2020
4,tang2,5,45,3,42,7,7,3,2,2020
4,tang2,5,45,7,38,8,7,3,2,2020
4,tang2,5,76,1,75,9,7,3,2,2020
4,tang2,5,76,9,67,8,7,3,2,2020
4,tang2,5,45,1,44,7,7,4,2,2020
4,tang2,5,23,1,22,6,7,4,3,2020
4,tang2,5,56,2,54,5,7,4,3,2020
4,tang2,5,45,9,36,4,7,4,3,2020
4,tang2,5,43,5,38,3,7,4,3,2020
4,tang2,5,23,9,14,4,8,4,3,2020
4,tang2,5,23,9,14,4,8,4,3,2020
4,tang2,5,78,2,76,5,8,4,3,2020
4,tang2,5,98,5,93,4,8,4,3,2020
4,tang2,5,76,2,74,4,8,4,3,2020
4,tang2,5,56,9,47,5,8,4,3,2020
4,tang2,5,56,9,47,5,8,5,4,2020
4,tang2,5,45,6,39,4,8,5,4,2020
4,tang2,5,34,1,33,3,8,5,4,2020
4,tang2,5,78,0,78,3,8,5,4,2020
4,tang2,5,56,5,51,33,8,5,4,2020
4,tang2,5,43,2,41,3,8,5,4,2020
4,tang2,5,23,5,18,33,8,5,5,2020
4,tang2,5,45,1,44,3,8,6,5,2020
4,tang2,5,67,5,62,2,8,6,5,2020
4,tang2,5,99,9,90,3,8,6,5,2020
4,tang2,5,90,9,81,3,8,6,6,2020
4,tang2,5,90,4,86,2,9,6,6,2020
4,tang2,5,88,1,87,3,9,6,7,2020
4,tang2,5,98,5,93,4,9,6,7,2020
4,tang2,5,98,1,97,5,9,7,7,2020
4,tang2,5,76,2,74,4,9,7,8,2020
4,tang2,5,54,2,52,3,9,7,9,2020
